gaze_timestamp,world_index,confidence,norm_pos_x,norm_pos_y,base_data,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,eye_center0_3d_x,eye_center0_3d_y,eye_center0_3d_z,gaze_normal0_x,gaze_normal0_y,gaze_normal0_z,eye_center1_3d_x,eye_center1_3d_y,eye_center1_3d_z,gaze_normal1_x,gaze_normal1_y,gaze_normal1_z
24178.275845,0,0.8579602837562561,0.37208612056917606,0.5570217088216104,24178.275845-0,-97.25074490738771,-26.20356349833881,443.37409378496454,-177.73840845053948,6.180972626414924,-49.04135869124362,0.16097532708630352,-0.0647690722495075,0.9848309049524164,,,,,,
24178.284065,1,0.933529794216156,0.3725697587501511,0.5641824951956197,24178.284065-0,-96.83004509773528,-29.243508533435104,443.0957592689098,-177.73840845053948,6.180972626414924,-49.04135869124362,0.16181672670560845,-0.07084896231970006,0.9842742359203068,,,,,,
24178.291896,1,0.8061610460281372,0.3722859380357659,0.5626072117202326,24178.291896-0,-97.05629904544301,-28.57626148121956,443.180473310478,-177.73840845053948,6.180972626414924,-49.04135869124362,0.161364218810193,-0.06951446821526895,0.9844436640034434,,,,,,
24178.300037,1,0.9690066576004028,0.37108202022472725,0.5673290368805686,24178.300037-0,-97.9209053358986,-30.587748570076457,443.1752880590658,-177.73840845053948,6.180972626414924,-49.04135869124362,0.15963500622928187,-0.07353744239298277,0.9844332935006189,,,,,,
24178.308022,1,0.9582809805870056,0.37412523276581117,0.5683732748232192,24178.308022-0,-95.62615849152775,-31.011816089051123,442.7657934265711,-177.73840845053948,6.180972626414924,-49.04135869124362,0.16422449991802338,-0.0743855774309321,0.9836143042356296,,,,,,
24178.320049,2,0.8604145050048828,0.3734752220681051,0.5709198001156831,24178.320049-0,-96.09193783500984,-32.0952551261074,442.7602112788658,-177.73840845053948,6.180972626414924,-49.04135869124362,0.1632929412310593,-0.0765524555050446,0.9836031399402189,,,,,,
24178.328022,2,0.8504716753959656,0.3737367986172151,0.5688852280422994,24178.328022-0,-95.91342413962678,-31.231314631650932,442.7970219833829,-177.73840845053948,6.180972626414924,-49.04135869124362,0.16364996862182543,-0.07482457451613177,0.983676761349253,,,,,,
24178.336077,2,0.8653804063796997,0.3722516964139698,0.5594362496620695,24178.336077-0,-97.10751650654697,-27.229229585593913,443.28213013746216,-177.73840845053948,6.180972626414924,-49.04135869124362,0.16126178388798504,-0.06682040442401768,0.9846469776574116,,,,,,
24178.343953,3,0.9502061009407043,0.37482805215970366,0.5608244762676879,24178.343953-0,-95.16049005660486,-27.804771341885512,442.91987616435534,-177.73840845053948,6.180972626414924,-49.04135869124362,0.16515583678786927,-0.06797148793660089,0.9839224697111978,,,,,,
24178.351908,3,0.9412621259689331,0.3745767961182044,0.5629681013348111,24178.351908-0,-95.33215316334321,-28.716275579787137,442.8848463000905,-177.73840845053948,6.180972626414924,-49.04135869124362,0.1648125105743926,-0.06979449641240411,0.9838524099826683,,,,,,
