# timestamps [seconds],pts
24197.435085,1256120
24197.470938,1258469
24197.503064,1260575
24197.535152,1262678
24197.571117,1265035
24197.603126,1267132
24197.635047,1269224
24197.671212,1271594
24197.703146,1273687
24197.734940,1275771
24197.771153,1278144
24197.803024,1280233
24197.834932,1282324
24197.871167,1284698
24197.902927,1286780
24197.934991,1288881
24197.966933,1290974
24198.003067,1293342
24198.034913,1295429
24198.066928,1297528
24198.102903,1299885
24198.135056,1301992
24198.167107,1304093
24198.203025,1306447
24198.235094,1308548
24198.267142,1310649
24198.302923,1312993
24198.335098,1315102
24198.367129,1317201
24198.399060,1319294
24198.435153,1321659
24198.467815,1323800
24198.498983,1325842
24198.534979,1328201
24198.567000,1330300
24198.599142,1332406
24198.635052,1334760
24198.666929,1336849
24198.698947,1338947
24198.735123,1341318
24198.766953,1343404
24198.798902,1345497
24198.834892,1347856
24198.867083,1349966
24198.899256,1352074
24198.931094,1354161
24198.966961,1356511
24198.999053,1358614
24199.030954,1360705
24199.067022,1363069
24199.099023,1365166
24199.131075,1367266
24199.167152,1369631
24199.199080,1371723
24199.230933,1373811
24199.271703,1376482
24199.298945,1378268
24199.330845,1380358
24199.362853,1382456
24199.398929,1384820
24199.430999,1386922
24199.462958,1389016
24199.498933,1391374
24199.530938,1393471
24199.562986,1395572
24199.598930,1397927
24199.630978,1400028
24199.663223,1402141
24199.698926,1404481
24199.730930,1406578
24199.763027,1408681
24199.794899,1410770
24199.831153,1413146
24199.863228,1415248
24199.895098,1417337
24199.931054,1419693
24199.963169,1421798
24199.994998,1423884
24200.031283,1426262
24200.063065,1428344
24200.094966,1430435
24200.131066,1432801
24200.162902,1434887
24200.194979,1436989
24200.230992,1439349
24200.262867,1441438
24200.295050,1443548
24200.327167,1445652
24200.362955,1447998
24200.395300,1450117
24200.427196,1452208
24200.462952,1454551
24200.495160,1456662
24200.527006,1458749
24200.562924,1461103
24200.595152,1463215
24200.627028,1465304
24200.663087,1467667
24200.695050,1469762
24200.726923,1471850
24200.758999,1473952
24200.794990,1476311
24200.827177,1478420
24200.859507,1480539
24200.894951,1482862
24200.927081,1484968
24200.959084,1487065
24200.995091,1489425
24201.027004,1491516
24201.059005,1493613
24201.095757,1496022
24201.126931,1498065
24201.158992,1500166
24201.195006,1502526
24201.226973,1504621
24201.259038,1506722
24201.290948,1508814
24201.326937,1511172
24201.359135,1513282
24201.391109,1515378
24201.426993,1517729
24201.459111,1519834
24201.491129,1521933
24201.527028,1524285
24201.559212,1526394
24201.590980,1528476
24201.627060,1530841
24201.659179,1532946
24201.690941,1535027
24201.722931,1537124
24201.758940,1539484
24201.790947,1541581
24201.822916,1543676
24201.859136,1546050
24201.890958,1548135
24201.923029,1550237
24201.959060,1552598
24201.991192,1554704
24202.023091,1556795
24202.058966,1559146
24202.091224,1561260
24202.123008,1563343
24202.159189,1565714
