gaze_timestamp,world_index,confidence,norm_pos_x,norm_pos_y,base_data,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,eye_center0_3d_x,eye_center0_3d_y,eye_center0_3d_z,gaze_normal0_x,gaze_normal0_y,gaze_normal0_z,eye_center1_3d_x,eye_center1_3d_y,eye_center1_3d_z,gaze_normal1_x,gaze_normal1_y,gaze_normal1_z
14835.279393,0,1.0,0.41314344494300403,0.7420577839986153,14835.279393-0,-56.74973828499806,-88.81913287238496,375.08863310915905,-326.3324849245356,-74.66237512165732,-45.773255073021396,0.539165493279075,-0.028313515501455357,0.8417237763643609,,,,,,
14835.286155,0,0.9234296083450317,0.41375203792652665,0.7456852574741634,14835.286155-0,-56.321098335447374,-90.04080415543964,374.7708627466087,-326.3324849245356,-74.66237512165732,-45.773255073021396,0.5400227731781765,-0.03075685806756457,0.84108823563926,,,,,,
14835.29412,1,1.0,0.41370763027197405,0.7450418408220167,14835.29412-0,-56.353987096043994,-89.81799962336291,374.80006523657045,-326.3324849245356,-74.66237512165732,-45.773255073021396,0.5399569956569833,-0.030311249003411263,0.8411466406191835,,,,,,
14835.303542000001,1,0.9511774778366089,0.41380251522392486,0.7465129993493616,14835.303542000001-0,-56.28328016055609,-90.32799311077031,374.73597838013546,-326.3324849245356,-74.66237512165732,-45.773255073021396,0.540098409527959,-0.031331235978226034,0.8410184669063135,,,,,,
14835.314013000001,1,0.9725891947746277,0.413951669196432,0.7463959471307624,14835.314013000001-0,-56.18257785345443,-90.2716313845574,374.6733869975336,-326.3324849245356,-74.66237512165732,-45.773255073021396,0.5402998141421622,-0.031218512525800154,0.8408932841411099,,,,,,
14835.324707,1,1.0,0.41514029292901505,0.7477297001224041,14835.324707-0,-55.37134841657527,-90.62169417502403,374.137881523363,-326.3324849245356,-74.66237512165732,-45.773255073021396,0.5419222730159207,-0.031918638106733455,0.8398222731927687,,,,,,
14835.333433,2,1.0,0.4150359876283778,0.7488468646135806,14835.333433-0,-55.43711739405428,-91.02588516438797,374.16475867377784,-326.3324849245356,-74.66237512165732,-45.773255073021396,0.5417907350609626,-0.03272702008546134,0.8398760274935985,,,,,,
14835.342914,2,1.0,0.4150543395987906,0.7487635538225581,14835.342914-0,-55.42505731166534,-90.99466791572999,374.15819394725156,-326.3324849245356,-74.66237512165732,-45.773255073021396,0.5418148552257406,-0.0326645855881454,0.8398628980405458,,,,,,
14835.350275,2,0.9712266325950623,0.4160779511364726,0.7506289934197871,14835.350275-0,-54.72471587040451,-91.54629018965406,373.6837191226814,-326.3324849245356,-74.66237512165732,-45.773255073021396,0.5432155381082622,-0.03376783013599333,0.8389139483914055,,,,,,
14835.356671000001,2,1.0,0.4161113549732205,0.7492165438296547,14835.356671000001-0,-54.708289389487135,-91.04612190611797,373.6929166753574,-326.3324849245356,-74.66237512165732,-45.773255073021396,0.5432483910700969,-0.03276749356892128,0.8389323434967577,,,,,,
